Esn,Country,Localized Device Description,Device Description,Ip,Region Code Display Name,Ts
NFCDSF-01-H1JYR9U4X0PRJE8CLDA08Q91G74L1K,AR,Safari MAC (Cadmium),Safari MAC (Cadmium),200.123.38.100,Santa Fe,2023-02-26T14:00:46.055Z
SFRSTB701=0002778962,FR,SFR STB7 Set Top Box,SFR STB7 Set Top Box,2a02:8428:e40a:ea84:ce2d:1bff:fe48:d68,Auvergne-Rhône-Alpes,2023-02-26T13:31:32.563Z
NFAPPL-02-IPHONE11=6-6A823A67967B9CA4A4DAD4225B877A05F83A5B2AD42BCFFA98F26DC38EFB8C1D,FR,Apple iPhone XS Max (CDMA),Apple iPhone XS Max (CDMA),2a02:8440:5414:3451:dc65:7bf4:4c87:b8c8,Auvergne-Rhône-Alpes,2023-02-25T16:20:27.449Z
NFCDSF-01-H1JYR9U4X0PRJE8CLDA08Q91G74L1K,AR,Safari MAC (Cadmium),Safari MAC (Cadmium),200.123.38.100,Santa Fe,2023-02-25T14:14:33.301Z
NFAPPL-02-IPHONE11=8-CD0F5E9F3DC3E71C9161AA8AE9D366D38152A5B3DC6DF10292A10F2AEBBB496E,AR,Apple iPhone XR,Apple iPhone XR,200.123.38.100,Santa Fe,2023-02-25T13:07:28.742Z
NFAPPL-02-IPHONE11=8-CD0F5E9F3DC3E71C9161AA8AE9D366D38152A5B3DC6DF10292A10F2AEBBB496E,AR,Apple iPhone XR,Apple iPhone XR,200.123.38.100,Santa Fe,2023-02-24T22:37:09.199Z
SFRSTB701=0002367079,FR,SFR STB7 Set Top Box,SFR STB7 Set Top Box,2a02:842a:6e:6984:6235:c0ff:fe8a:3708,Nouvelle-Aquitaine,2023-02-24T16:25:00.157Z
NFAPPL-02-IPHONE11=8-CD0F5E9F3DC3E71C9161AA8AE9D366D38152A5B3DC6DF10292A10F2AEBBB496E,AR,Apple iPhone XR,Apple iPhone XR,170.51.165.202,Misiones,2023-02-24T15:07:15.832Z
NFAPPL-02-IPHONE11=8-CD0F5E9F3DC3E71C9161AA8AE9D366D38152A5B3DC6DF10292A10F2AEBBB496E,AR,Apple iPhone XR,Apple iPhone XR,170.51.165.202,Misiones,2023-02-23T15:36:38.410Z
NFAPPL-02-IPHONE11=8-CD0F5E9F3DC3E71C9161AA8AE9D366D38152A5B3DC6DF10292A10F2AEBBB496E,AR,Apple iPhone XR,Apple iPhone XR,200.123.38.115,Santa Fe,2023-02-23T01:47:56.857Z
NFCDSF-01-H1JYR9U4X0PRJE8CLDA08Q91G74L1K,AR,Safari MAC (Cadmium),Safari MAC (Cadmium),200.123.38.115,Santa Fe,2023-02-22T21:26:56.010Z
NFANDROID2-PRV-AQUAMAN-XIAOMMITV-AESP0-16688-4D91AB8BA6A3CC0A7C9BA4BD642D92633729773148F32308FF4970286179211F,FR,Xiaomi aquaman Streaming Stick,Xiaomi aquaman Streaming Stick,2a01:cb19:a73:9100:6c23:b554:d40:a323,Nouvelle-Aquitaine,2023-02-22T21:19:26.029Z
NFANDROID2-PRV-AQUAMAN-XIAOMMITV-AESP0-16688-4D91AB8BA6A3CC0A7C9BA4BD642D92633729773148F32308FF4970286179211F,FR,Xiaomi aquaman Streaming Stick,Xiaomi aquaman Streaming Stick,86.204.185.44,Grand-Est,2023-02-22T20:34:45.818Z
NFAPPL-02-IPHONE11=8-CD0F5E9F3DC3E71C9161AA8AE9D366D38152A5B3DC6DF10292A10F2AEBBB496E,AR,Apple iPhone XR,Apple iPhone XR,186.12.100.104,Santa Fe,2023-02-22T16:10:39.426Z
NFAPPL-02-IPHONE11=6-6A823A67967B9CA4A4DAD4225B877A05F83A5B2AD42BCFFA98F26DC38EFB8C1D,FR,Apple iPhone XS Max (CDMA),Apple iPhone XS Max (CDMA),2a02:8440:5319:c9e6:ed26:8d68:504d:5c05,Auvergne-Rhône-Alpes,2023-02-22T09:31:54.145Z
NFCDCH-MC-J7MZ2QPPR3CJK7XJ8GV3QRM09VCW25,BR,Netflix Chrome MAC (Cadmium) HTML 5,Netflix Chrome MAC (Cadmium) HTML 5,2804:1b3:8101:3046:746a:db8a:cead:7af6,São Paulo,2023-02-21T05:42:34.417Z
NFAPPL-01-IPAD13=8-6F5B7E158C611A917BCB6AF398A9B8F63FA1FF5E40D0FE73886BBF575BAE6C48,FR,Apple iPad Pro 12.9 in 5th Gen (Wi-Fi) iPad,Apple iPad Pro 12.9 in 5th Gen (Wi-Fi) iPad,2a02:8440:4540:a3e1:bd0d:b8e8:65d3:9106,Île-de-France²,2023-02-20T19:13:38.211Z
NFAPPL-02-IPHONE11=8-CD0F5E9F3DC3E71C9161AA8AE9D366D38152A5B3DC6DF10292A10F2AEBBB496E,AR,Apple iPhone XR,Apple iPhone XR,200.123.38.115,Santa Fe,2023-02-20T11:23:05.166Z
NFAPPL-01-IPAD13=8-6F5B7E158C611A917BCB6AF398A9B8F63FA1FF5E40D0FE73886BBF575BAE6C48,FR,Apple iPad Pro 12.9 in 5th Gen (Wi-Fi) iPad,Apple iPad Pro 12.9 in 5th Gen (Wi-Fi) iPad,2a02:8440:4541:466f:91c6:ef7:f0a4:54b3,Île-de-France²,2023-02-20T07:19:54.357Z
NFANDROID2-PRV-AQUAMAN-XIAOMMITV-AESP0-16688-4D91AB8BA6A3CC0A7C9BA4BD642D92633729773148F32308FF4970286179211F,FR,Xiaomi aquaman Streaming Stick,Xiaomi aquaman Streaming Stick,86.204.185.44,Grand-Est,2023-02-19T21:54:07.920Z
NFANDROID2-PRV-AQUAMAN-XIAOMMITV-AESP0-16688-4D91AB8BA6A3CC0A7C9BA4BD642D92633729773148F32308FF4970286179211F,FR,Xiaomi aquaman Streaming Stick,Xiaomi aquaman Streaming Stick,2a01:cb19:a73:9100:c139:5190:5894:3efb,Nouvelle-Aquitaine,2023-02-19T20:55:28.520Z
NFANDROID2-PRV-AQUAMAN-XIAOMMITV-AESP0-16688-4D91AB8BA6A3CC0A7C9BA4BD642D92633729773148F32308FF4970286179211F,FR,Xiaomi aquaman Streaming Stick,Xiaomi aquaman Streaming Stick,86.204.185.44,Grand-Est,2023-02-19T19:35:24.605Z
NFAPPL-01-IPAD13=8-6F5B7E158C611A917BCB6AF398A9B8F63FA1FF5E40D0FE73886BBF575BAE6C48,FR,Apple iPad Pro 12.9 in 5th Gen (Wi-Fi) iPad,Apple iPad Pro 12.9 in 5th Gen (Wi-Fi) iPad,93.23.250.15,Provence-Alpes-Côte-d’Azur,2023-02-19T16:51:59.039Z
NFCDCH-MC-J7MZ2QPPR3CJK7XJ8GV3QRM09VCW25,BR,Netflix Chrome MAC (Cadmium) HTML 5,Netflix Chrome MAC (Cadmium) HTML 5,2804:1b3:8101:3046:107d:6b7e:5362:4c23,São Paulo,2023-02-19T03:57:21.263Z
NFANDROID2-PRV-AQUAMAN-XIAOMMITV-AESP0-16688-4D91AB8BA6A3CC0A7C9BA4BD642D92633729773148F32308FF4970286179211F,FR,Xiaomi aquaman Streaming Stick,Xiaomi aquaman Streaming Stick,2a01:cb19:a73:9100:4958:6722:2df:fb78,Nouvelle-Aquitaine,2023-02-18T22:28:35.669Z
NFANDROID2-PRV-AQUAMAN-XIAOMMITV-AESP0-16688-4D91AB8BA6A3CC0A7C9BA4BD642D92633729773148F32308FF4970286179211F,FR,Xiaomi aquaman Streaming Stick,Xiaomi aquaman Streaming Stick,86.204.185.44,Grand-Est,2023-02-18T20:59:30.907Z
NFAPPL-02-IPHONE11=8-68D8EFD70E4F2BDDBC4373758DC3A1D2F32BF0A5AD54274B6F57E764BD22D3A1,FR,Apple iPhone XR,Apple iPhone XR,2a02:8440:4501:2919:7cdf:5919:7fb0:9ae,Provence-Alpes-Côte-d’Azur,2023-02-18T12:04:38.556Z
NFAPPL-02-IPHONE11=8-68D8EFD70E4F2BDDBC4373758DC3A1D2F32BF0A5AD54274B6F57E764BD22D3A1,FR,Apple iPhone XR,Apple iPhone XR,2a02:8440:4501:2919:7cdf:5919:7fb0:9ae,Provence-Alpes-Côte-d’Azur,2023-02-18T12:04:38.555Z
NFAPPL-02-IPHONE11=8-68D8EFD70E4F2BDDBC4373758DC3A1D2F32BF0A5AD54274B6F57E764BD22D3A1,FR,Apple iPhone XR,Apple iPhone XR,2a02:8440:5111:90e9:d23:82be:4ec6:6a3,Auvergne-Rhône-Alpes,2023-02-18T07:45:48.090Z
NFANDROID2-PRV-AQUAMAN-XIAOMMITV-AESP0-16688-4D91AB8BA6A3CC0A7C9BA4BD642D92633729773148F32308FF4970286179211F,FR,Xiaomi aquaman Streaming Stick,Xiaomi aquaman Streaming Stick,86.204.185.44,Grand-Est,2023-02-17T20:22:48.550Z
NFANDROID2-PRV-AQUAMAN-XIAOMMITV-AESP0-16688-4D91AB8BA6A3CC0A7C9BA4BD642D92633729773148F32308FF4970286179211F,FR,Xiaomi aquaman Streaming Stick,Xiaomi aquaman Streaming Stick,2a01:cb19:a73:9100:3134:4c34:c5f2:67da,Nouvelle-Aquitaine,2023-02-17T20:22:46.965Z
NFANDROID2-PRV-AQUAMAN-XIAOMMITV-AESP0-16688-4D91AB8BA6A3CC0A7C9BA4BD642D92633729773148F32308FF4970286179211F,FR,Xiaomi aquaman Streaming Stick,Xiaomi aquaman Streaming Stick,86.204.185.44,Grand-Est,2023-02-17T20:20:57.490Z
NFAPPL-02-IPHONE11=6-6A823A67967B9CA4A4DAD4225B877A05F83A5B2AD42BCFFA98F26DC38EFB8C1D,FR,Apple iPhone XS Max (CDMA),Apple iPhone XS Max (CDMA),2a02:8428:e40a:ea01:801f:8557:c9a0:216e,Auvergne-Rhône-Alpes,2023-02-17T11:08:06.739Z
NFAPPL-02-IPHONE12=8-735580E1FB73FA31CD400C8F75F145E6EC947C4839BB25BB32DCFFB3F7631214,FR,Apple iPhone SE Gen 2 iPhone,Apple iPhone SE Gen 2 iPhone,2a02:8428:e40a:ea01:c160:bf56:2702:7070,Auvergne-Rhône-Alpes,2023-02-17T10:53:20.361Z
NFCDCH-MC-J7MZ2QPPR3CJK7XJ8GV3QRM09VCW25,BR,Netflix Chrome MAC (Cadmium) HTML 5,Netflix Chrome MAC (Cadmium) HTML 5,2804:1b3:8101:3046:6556:a4aa:8473:b3fd,São Paulo,2023-02-17T03:11:13.047Z
NFANDROID2-PRV-AQUAMAN-XIAOMMITV-AESP0-16688-4D91AB8BA6A3CC0A7C9BA4BD642D92633729773148F32308FF4970286179211F,FR,Xiaomi aquaman Streaming Stick,Xiaomi aquaman Streaming Stick,86.204.185.44,Grand-Est,2023-02-16T21:55:19.672Z
NFANDROID2-PRV-AQUAMAN-XIAOMMITV-AESP0-16688-4D91AB8BA6A3CC0A7C9BA4BD642D92633729773148F32308FF4970286179211F,FR,Xiaomi aquaman Streaming Stick,Xiaomi aquaman Streaming Stick,2a01:cb19:a73:9100:e5c5:5940:39c1:7099,Nouvelle-Aquitaine,2023-02-16T21:16:04.838Z
NFANDROID2-PRV-AQUAMAN-XIAOMMITV-AESP0-16688-4D91AB8BA6A3CC0A7C9BA4BD642D92633729773148F32308FF4970286179211F,FR,Xiaomi aquaman Streaming Stick,Xiaomi aquaman Streaming Stick,86.204.185.44,Grand-Est,2023-02-16T20:27:29.977Z
NFCDCH-MC-J7MZ2QPPR3CJK7XJ8GV3QRM09VCW25,BR,Netflix Chrome MAC (Cadmium) HTML 5,Netflix Chrome MAC (Cadmium) HTML 5,2804:1b3:8101:3046:bd0a:74fc:d495:2302,São Paulo,2023-02-16T03:43:16.753Z
NFANDROID2-PRV-AQUAMAN-XIAOMMITV-AESP0-16688-4D91AB8BA6A3CC0A7C9BA4BD642D92633729773148F32308FF4970286179211F,FR,Xiaomi aquaman Streaming Stick,Xiaomi aquaman Streaming Stick,2a01:cb19:a73:9100:289b:9eda:f393:25fc,Nouvelle-Aquitaine,2023-02-15T20:22:00.141Z
NFANDROID2-PRV-AQUAMAN-XIAOMMITV-AESP0-16688-4D91AB8BA6A3CC0A7C9BA4BD642D92633729773148F32308FF4970286179211F,FR,Xiaomi aquaman Streaming Stick,Xiaomi aquaman Streaming Stick,2a01:cb19:a73:9100:89cc:e92c:5273:7ddd,Nouvelle-Aquitaine,2023-02-14T21:15:25.370Z
NFANDROID2-PRV-AQUAMAN-XIAOMMITV-AESP0-16688-4D91AB8BA6A3CC0A7C9BA4BD642D92633729773148F32308FF4970286179211F,FR,Xiaomi aquaman Streaming Stick,Xiaomi aquaman Streaming Stick,86.204.185.44,Grand-Est,2023-02-14T20:50:09.611Z
NFANDROID2-PRV-AQUAMAN-XIAOMMITV-AESP0-16688-4D91AB8BA6A3CC0A7C9BA4BD642D92633729773148F32308FF4970286179211F,FR,Xiaomi aquaman Streaming Stick,Xiaomi aquaman Streaming Stick,2a01:cb19:a73:9100:78a4:3a94:84bd:c181,Nouvelle-Aquitaine,2023-02-13T21:50:46.233Z
NFANDROID2-PRV-AQUAMAN-XIAOMMITV-AESP0-16688-4D91AB8BA6A3CC0A7C9BA4BD642D92633729773148F32308FF4970286179211F,FR,Xiaomi aquaman Streaming Stick,Xiaomi aquaman Streaming Stick,2a01:cb19:a73:9100:b158:9421:d32c:669,Nouvelle-Aquitaine,2023-02-13T20:49:59.989Z
NFAPPL-02-IPHONE11=8-68D8EFD70E4F2BDDBC4373758DC3A1D2F32BF0A5AD54274B6F57E764BD22D3A1,FR,Apple iPhone XR,Apple iPhone XR,2a02:8428:e40a:ea01:c485:9415:db03:28b2,Auvergne-Rhône-Alpes,2023-02-13T12:58:12.642Z
NFAPPL-02-IPHONE12=8-735580E1FB73FA31CD400C8F75F145E6EC947C4839BB25BB32DCFFB3F7631214,FR,Apple iPhone SE Gen 2 iPhone,Apple iPhone SE Gen 2 iPhone,2a02:8428:e40a:ea01:ecc6:ca65:d7f2:e3bf,Auvergne-Rhône-Alpes,2023-02-13T12:56:37.056Z
NFUWA-001-D34A662E3185DE9C736B8F409522EDFA67DCB83A33D4E5393E67ABFBD30789CE,FR,Netflix Windows App - Cadmium Windows Mobile,Netflix Windows App - Cadmium Windows Mobile,109.30.45.220,Île-de-France²,2023-02-12T17:44:03.392Z
NFAPPL-02-IPHONE11=8-CD0F5E9F3DC3E71C9161AA8AE9D366D38152A5B3DC6DF10292A10F2AEBBB496E,AR,Apple iPhone XR,Apple iPhone XR,170.51.188.220,San Juan,2023-02-12T15:59:06.073Z
NFCDSF-01-H1JYR9U4X0PRJE8CLDA08Q91G74L1K,AR,Safari MAC (Cadmium),Safari MAC (Cadmium),200.123.38.115,Santa Fe,2023-02-12T14:04:27.461Z
NFCDCH-MC-J7MZ2QPPR3CJK7XJ8GV3QRM09VCW25,PE,Netflix Chrome MAC (Cadmium) HTML 5,Netflix Chrome MAC (Cadmium) HTML 5,201.218.157.132,Lima,2023-02-12T01:31:08.833Z
NFAPPL-02-IPHONE11=6-6A823A67967B9CA4A4DAD4225B877A05F83A5B2AD42BCFFA98F26DC38EFB8C1D,FR,Apple iPhone XS Max (CDMA),Apple iPhone XS Max (CDMA),2a02:8428:e40a:ea01:c198:16f5:163f:63fb,Auvergne-Rhône-Alpes,2023-02-11T13:50:44.043Z
NFUWA-001-D34A662E3185DE9C736B8F409522EDFA67DCB83A33D4E5393E67ABFBD30789CE,FR,Netflix Windows App - Cadmium Windows Mobile,Netflix Windows App - Cadmium Windows Mobile,109.30.45.220,Île-de-France²,2023-02-11T09:35:51.993Z
NFAPPL-01-IPAD4=2-4567ACBA3A1D8C8470C2E62C6B0D5C4C7D1C901910AF8E996D158D1850E563D9,FR,iPad Air Cellular,iPad Air Cellular,2a02:8428:e40a:ea01:b824:e7e5:fe31:872d,Auvergne-Rhône-Alpes,2023-02-11T06:23:04.671Z
NFUWA-001-D34A662E3185DE9C736B8F409522EDFA67DCB83A33D4E5393E67ABFBD30789CE,FR,Netflix Windows App - Cadmium Windows Mobile,Netflix Windows App - Cadmium Windows Mobile,193.52.24.29,Île-de-France²,2023-02-10T16:05:06.343Z
NFAPPL-02-IPHONE11=8-68D8EFD70E4F2BDDBC4373758DC3A1D2F32BF0A5AD54274B6F57E764BD22D3A1,FR,Apple iPhone XR,Apple iPhone XR,2a02:8428:e40a:ea01:75bf:d0fe:960f:41f4,Auvergne-Rhône-Alpes,2023-02-10T09:37:49.359Z
NFAPPL-02-IPHONE11=8-68D8EFD70E4F2BDDBC4373758DC3A1D2F32BF0A5AD54274B6F57E764BD22D3A1,FR,Apple iPhone XR,Apple iPhone XR,2a02:8428:e40a:ea01:258c:338:277c:d05c,Auvergne-Rhône-Alpes,2023-02-10T08:28:44.879Z
NFAPPL-02-IPHONE11=8-68D8EFD70E4F2BDDBC4373758DC3A1D2F32BF0A5AD54274B6F57E764BD22D3A1,FR,Apple iPhone XR,Apple iPhone XR,2a02:8428:e40a:ea01:258c:338:277c:d05c,Auvergne-Rhône-Alpes,2023-02-09T19:01:17.299Z
NFAPPL-01-IPAD6=11-45F98DA919BF0666A19FE0C7944F06F0DC808D4FF1479BF2995571A9CA3B810C,FR,Apple iPad 5th Gen (Wi-Fi) iPad,Apple iPad 5th Gen (Wi-Fi) iPad,78.125.208.111,Auvergne-Rhône-Alpes,2023-02-08T13:26:02.101Z
NFUWA-001-D34A662E3185DE9C736B8F409522EDFA67DCB83A33D4E5393E67ABFBD30789CE,FR,Netflix Windows App - Cadmium Windows Mobile,Netflix Windows App - Cadmium Windows Mobile,193.52.24.29,Île-de-France²,2023-02-07T21:37:22.654Z
NFANDROID2-PRV-AQUAMAN-XIAOMMITV-AESP0-16688-4D91AB8BA6A3CC0A7C9BA4BD642D92633729773148F32308FF4970286179211F,FR,Xiaomi aquaman Streaming Stick,Xiaomi aquaman Streaming Stick,2a01:cb19:a73:9100:45e:7f2d:820b:448a,Nouvelle-Aquitaine,2023-02-07T20:23:20.461Z
NFAPPL-02-IPHONE11=8-CD0F5E9F3DC3E71C9161AA8AE9D366D38152A5B3DC6DF10292A10F2AEBBB496E,AR,Apple iPhone XR,Apple iPhone XR,200.123.38.90,Santa Fe,2023-02-07T17:05:59.389Z
NFANDROID2-PRV-AQUAMAN-XIAOMMITV-AESP0-16688-4D91AB8BA6A3CC0A7C9BA4BD642D92633729773148F32308FF4970286179211F,FR,Xiaomi aquaman Streaming Stick,Xiaomi aquaman Streaming Stick,86.204.185.44,Grand-Est,2023-02-06T20:29:47.838Z
NFPS3-001-65FMQNKVDPZGEF30PDGQRQ44QD,FR,Système PS3&trade;,Sony PS3,86.204.185.44,Grand-Est,2023-02-06T19:50:50.135Z
NFANDROID2-PRV-AQUAMAN-XIAOMMITV-AESP0-16688-4D91AB8BA6A3CC0A7C9BA4BD642D92633729773148F32308FF4970286179211F,FR,Xiaomi aquaman Streaming Stick,Xiaomi aquaman Streaming Stick,86.204.185.44,Grand-Est,2023-02-05T22:29:01.472Z
NFANDROID2-PRV-AQUAMAN-XIAOMMITV-AESP0-16688-4D91AB8BA6A3CC0A7C9BA4BD642D92633729773148F32308FF4970286179211F,FR,Xiaomi aquaman Streaming Stick,Xiaomi aquaman Streaming Stick,2a01:cb19:a73:9100:51f7:f789:b530:625f,Nouvelle-Aquitaine,2023-02-05T21:40:23.240Z
NFANDROID2-PRV-AQUAMAN-XIAOMMITV-AESP0-16688-4D91AB8BA6A3CC0A7C9BA4BD642D92633729773148F32308FF4970286179211F,FR,Xiaomi aquaman Streaming Stick,Xiaomi aquaman Streaming Stick,86.204.185.44,Grand-Est,2023-02-05T21:06:56.594Z
NFAPPL-02-IPHONE11=6-6A823A67967B9CA4A4DAD4225B877A05F83A5B2AD42BCFFA98F26DC38EFB8C1D,FR,Apple iPhone XS Max (CDMA),Apple iPhone XS Max (CDMA),2a02:8440:540b:bc71:858:8120:442a:3bf,Auvergne-Rhône-Alpes,2023-02-05T17:17:28.218Z
NFAPPL-02-IPHONE11=8-68D8EFD70E4F2BDDBC4373758DC3A1D2F32BF0A5AD54274B6F57E764BD22D3A1,FR,Apple iPhone XR,Apple iPhone XR,2a02:8440:4305:aeda:f16a:a9f7:7385:47df,Île-de-France²,2023-02-05T14:47:02.840Z
NFANDROID2-PRV-AQUAMAN-XIAOMMITV-AESP0-16688-4D91AB8BA6A3CC0A7C9BA4BD642D92633729773148F32308FF4970286179211F,FR,Xiaomi aquaman Streaming Stick,Xiaomi aquaman Streaming Stick,2a01:cb19:a73:9100:6cde:edaf:65f0:480f,Nouvelle-Aquitaine,2023-02-04T21:41:30.278Z
NFANDROID2-PRV-AQUAMAN-XIAOMMITV-AESP0-16688-4D91AB8BA6A3CC0A7C9BA4BD642D92633729773148F32308FF4970286179211F,FR,Xiaomi aquaman Streaming Stick,Xiaomi aquaman Streaming Stick,86.204.185.44,Grand-Est,2023-02-04T20:22:54.073Z
NFUWA-001-D34A662E3185DE9C736B8F409522EDFA67DCB83A33D4E5393E67ABFBD30789CE,DE,Netflix Windows App - Cadmium Windows Mobile,Netflix Windows App - Cadmium Windows Mobile,46.5.2.225,Bavaria,2023-02-03T20:46:01.889Z
NFAPPL-01-IPAD4=2-4567ACBA3A1D8C8470C2E62C6B0D5C4C7D1C901910AF8E996D158D1850E563D9,FR,iPad Air Cellular,iPad Air Cellular,2a02:8428:e40a:ea01:e41e:1bdf:c93f:4a4e,Auvergne-Rhône-Alpes,2023-02-01T17:19:01.939Z
NFCDSF-01-H1JYR9U4X0PRJE8CLDA08Q91G74L1K,AR,Safari MAC (Cadmium),Safari MAC (Cadmium),200.123.38.101,Santa Fe,2023-02-01T15:48:59.417Z
NFUWA-001-D34A662E3185DE9C736B8F409522EDFA67DCB83A33D4E5393E67ABFBD30789CE,DE,Netflix Windows App - Cadmium Windows Mobile,Netflix Windows App - Cadmium Windows Mobile,46.5.3.214,Baden-Württemberg,2023-01-30T20:46:16.222Z
SSTV-KTS1-0000000000000002357505,FR,Samsung 2017 Kant-S DTV Smart TV,Samsung 2017 Kant-S DTV Smart TV,37.65.41.61,Auvergne-Rhône-Alpes,2023-01-29T14:56:58.388Z
NFAPPL-01-IPAD4=2-4567ACBA3A1D8C8470C2E62C6B0D5C4C7D1C901910AF8E996D158D1850E563D9,FR,iPad Air Cellular,iPad Air Cellular,2a02:8428:e40a:ea01:3153:7076:eadb:ad49,Auvergne-Rhône-Alpes,2023-01-29T06:44:21.505Z
NFUWA-001-D34A662E3185DE9C736B8F409522EDFA67DCB83A33D4E5393E67ABFBD30789CE,DE,Netflix Windows App - Cadmium Windows Mobile,Netflix Windows App - Cadmium Windows Mobile,46.5.3.214,Baden-Württemberg,2023-01-28T22:03:13.259Z
NFUWA-001-D34A662E3185DE9C736B8F409522EDFA67DCB83A33D4E5393E67ABFBD30789CE,DE,Netflix Windows App - Cadmium Windows Mobile,Netflix Windows App - Cadmium Windows Mobile,2a02:8070:d382:700:839f:d332:58bc:e61d,Baden-Württemberg,2023-01-28T21:34:14.642Z
NFCDCH-MC-HF5DHUQA24EP2GGJ0AU541H8D7VPN9,AR,Netflix Chrome MAC (Cadmium) HTML 5,Netflix Chrome MAC (Cadmium) HTML 5,181.166.16.204,Santa Fe,2023-01-28T03:11:01.887Z
NFUWA-001-D34A662E3185DE9C736B8F409522EDFA67DCB83A33D4E5393E67ABFBD30789CE,DE,Netflix Windows App - Cadmium Windows Mobile,Netflix Windows App - Cadmium Windows Mobile,2a02:8070:d382:700:9987:220f:9ea9:d0bc,Baden-Württemberg,2023-01-27T23:39:23.104Z
NFAPPL-02-IPHONE11=6-6A823A67967B9CA4A4DAD4225B877A05F83A5B2AD42BCFFA98F26DC38EFB8C1D,FR,Apple iPhone XS Max (CDMA),Apple iPhone XS Max (CDMA),2a02:8440:5110:cf65:6c40:e0bb:683c:d31a,Auvergne-Rhône-Alpes,2023-01-27T07:59:57.735Z
NFAPPL-02-IPHONE11=6-6A823A67967B9CA4A4DAD4225B877A05F83A5B2AD42BCFFA98F26DC38EFB8C1D,FR,Apple iPhone XS Max (CDMA),Apple iPhone XS Max (CDMA),2a02:8428:e40a:ea01:992:ce16:efe5:e1fa,Auvergne-Rhône-Alpes,2023-01-26T21:50:30.419Z
NFCDSF-01-H1JYR9U4X0PRJE8CLDA08Q91G74L1K,AR,Safari MAC (Cadmium),Safari MAC (Cadmium),181.166.16.204,Santa Fe,2023-01-26T13:50:46.650Z
NFAPPL-02-IPHONE11=8-CD0F5E9F3DC3E71C9161AA8AE9D366D38152A5B3DC6DF10292A10F2AEBBB496E,AR,Apple iPhone XR,Apple iPhone XR,181.166.16.204,Santa Fe,2023-01-26T00:38:41.372Z
NFAPPL-02-IPHONE12=8-735580E1FB73FA31CD400C8F75F145E6EC947C4839BB25BB32DCFFB3F7631214,FR,Apple iPhone SE Gen 2 iPhone,Apple iPhone SE Gen 2 iPhone,2a02:8440:5103:853a:d496:7462:698b:afa9,Auvergne-Rhône-Alpes,2023-01-25T11:53:43.013Z
NFAPPL-02-IPHONE12=8-735580E1FB73FA31CD400C8F75F145E6EC947C4839BB25BB32DCFFB3F7631214,FR,Apple iPhone SE Gen 2 iPhone,Apple iPhone SE Gen 2 iPhone,2a02:8440:5113:e9dc:c938:6fa2:b152:9ddd,Île-de-France²,2023-01-25T11:52:14.616Z
NFAPPL-02-IPHONE12=8-735580E1FB73FA31CD400C8F75F145E6EC947C4839BB25BB32DCFFB3F7631214,FR,Apple iPhone SE Gen 2 iPhone,Apple iPhone SE Gen 2 iPhone,2a02:8440:5113:e9dc:c938:6fa2:b152:9ddd,Île-de-France²,2023-01-25T11:51:42.828Z
NFUWA-001-D34A662E3185DE9C736B8F409522EDFA67DCB83A33D4E5393E67ABFBD30789CE,DE,Netflix Windows App - Cadmium Windows Mobile,Netflix Windows App - Cadmium Windows Mobile,46.5.2.239,Baden-Württemberg,2023-01-24T10:33:18.309Z
NFCDCH-MC-J7MZ2QPPR3CJK7XJ8GV3QRM09VCW25,EC,Netflix Chrome MAC (Cadmium) HTML 5,Netflix Chrome MAC (Cadmium) HTML 5,157.100.204.55,Cotopaxi,2023-01-24T02:25:28.458Z
NFCDCH-MC-J7MZ2QPPR3CJK7XJ8GV3QRM09VCW25,EC,Netflix Chrome MAC (Cadmium) HTML 5,Netflix Chrome MAC (Cadmium) HTML 5,157.100.204.55,Cotopaxi,2023-01-23T00:51:59.541Z
NFCDCH-MC-J7MZ2QPPR3CJK7XJ8GV3QRM09VCW25,EC,Netflix Chrome MAC (Cadmium) HTML 5,Netflix Chrome MAC (Cadmium) HTML 5,157.100.141.57,Pichincha,2023-01-22T01:54:11.242Z
NFCDCH-MC-J7MZ2QPPR3CJK7XJ8GV3QRM09VCW25,EC,Netflix Chrome MAC (Cadmium) HTML 5,Netflix Chrome MAC (Cadmium) HTML 5,157.100.141.57,Pichincha,2023-01-20T01:37:38.442Z
NFUWA-001-D34A662E3185DE9C736B8F409522EDFA67DCB83A33D4E5393E67ABFBD30789CE,FR,Netflix Windows App - Cadmium Windows Mobile,Netflix Windows App - Cadmium Windows Mobile,109.30.45.220,Île-de-France²,2023-01-19T19:08:10.363Z
SFRSTB701=0002778962,FR,SFR STB7 Set Top Box,SFR STB7 Set Top Box,2a02:8428:e40a:ea84:ce2d:1bff:fe48:d68,Auvergne-Rhône-Alpes,2023-01-19T12:34:37.334Z
SFRSTB701=0002778962,FR,SFR STB7 Set Top Box,SFR STB7 Set Top Box,37.65.41.61,Auvergne-Rhône-Alpes,2023-01-19T08:00:17.139Z
NFCDCH-MC-J7MZ2QPPR3CJK7XJ8GV3QRM09VCW25,EC,Netflix Chrome MAC (Cadmium) HTML 5,Netflix Chrome MAC (Cadmium) HTML 5,2800:370:144:52c0:80de:99ba:c52f:42cf,Pastaza,2023-01-19T01:55:25.832Z
